,Unnamed: 0,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
32619,34503,House,6500000,Samundari Road,Faisalabad,Punjab,31.336505,73.071685,0,For Sale,0,2019-02-17,Self,Self,4.0
32620,34504,House,5500000,Gulshan-e-Haram,Faisalabad,Punjab,31.364194,73.06245899999999,0,For Sale,0,2019-02-17,Self,Self,3.0
32621,34506,House,6500000,Samundari Road,Faisalabad,Punjab,31.336505,73.071685,0,For Sale,0,2019-02-17,Self,Self,5.0
32622,34507,House,6500000,Samundari Road,Faisalabad,Punjab,31.336505,73.071685,0,For Sale,0,2019-02-17,Self,Self,80.0
32772,34667,House,20000,Canal Road,Faisalabad,Punjab,31.431648,73.12188499999999,2,For Rent,3,2019-01-18,Self,Self,4.0
32773,34668,Lower Portion,19000,Rabbani Colony,Faisalabad,Punjab,31.389472,73.10661800000001,4,For Rent,2,2019-01-18,Self,Self,13.3
32774,34669,Lower Portion,30000,Others,Faisalabad,Punjab,31.4187,73.0791,0,For Rent,0,2019-01-18,Gilani Royal Property Consultant,Abdul Rehman,8.0
32775,34670,Lower Portion,25000,Others,Faisalabad,Punjab,31.4187,73.0791,0,For Rent,0,2019-01-18,Gilani Royal Property Consultant,Abdul Rehman,8.0
32776,34671,Lower Portion,30000,Eden Gardens,Faisalabad,Punjab,31.424316,73.149465,0,For Rent,0,2019-01-18,Gilani Royal Property Consultant,Abdul Rehman,7.0
32777,34672,House,30000,Khayaban Colony,Faisalabad,Punjab,31.427272,73.135886,0,For Rent,0,2019-01-18,Gilani Royal Property Consultant,Abdul Rehman,5.0
32778,34673,House,35000,Eden Gardens,Faisalabad,Punjab,31.425441,73.145077,0,For Rent,0,2019-01-17,Gilani Royal Property Consultant,Abdul Rehman,5.0
32779,34674,House,30000,Samundari Road,Faisalabad,Punjab,31.391121,73.075386,0,For Rent,0,2019-01-17,Al-Qasim Estate & Developers,"Ch. Haq Nawaz, Ramzan Baloch",6.0
32780,34675,House,25000,Samundari Road,Faisalabad,Punjab,31.34583,73.068523,0,For Rent,0,2019-01-17,Al-Qasim Estate & Developers,"Ch. Haq Nawaz, Ramzan Baloch",5.0
32781,34676,House,25000,Samundari Road,Faisalabad,Punjab,31.34583,73.068523,0,For Rent,7,2019-01-17,Al-Qasim Estate & Developers,"Ch. Haq Nawaz, Ramzan Baloch",10.0
32871,34766,House,9200000,Eden Gardens,Faisalabad,Punjab,31.424316,73.149465,0,For Sale,0,2019-06-18,Hussnain Estate Advisor,Rana Ghazanfar Ali,5.0
32872,34767,House,26000000,D Ground,Faisalabad,Punjab,31.406213,73.10726899999999,0,For Sale,0,2019-06-18,Hussnain Estate Advisor,Rana Ghazanfar Ali,10.0
32873,34768,House,121500000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Sale,0,2019-06-19,Hussnain Estate Advisor,Rana Ghazanfar Ali,26.0
32874,34769,House,20000000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,0,For Sale,0,2019-07-09,Chanab Property Centre,Muhammad Ramzan,7.0
32875,34770,House,6500000,Officers Colony,Faisalabad,Punjab,31.429589,73.142782,0,For Sale,0,2019-07-09,Chanab Property Centre,Muhammad Ramzan,5.0
32876,34771,House,13000000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,0,For Sale,0,2019-07-09,Chanab Property Centre,Muhammad Ramzan,7.0
32877,34772,House,6500000,Allama Iqbal Colony,Faisalabad,Punjab,31.386358,73.08315999999999,0,For Sale,5,2019-01-18,Ultra Property Solutions,Shahid,3.0
32878,34773,House,60000000,Canal Road,Faisalabad,Punjab,31.449026,73.168873,6,For Sale,6,2019-05-17,Faisalabad Online Real Estate,Muhammad Awais,24.0
32879,34774,House,3450000,Millat Town,Faisalabad,Punjab,31.493164,73.102634,2,For Sale,3,2019-01-18,Self,Self,3.5
32880,34775,House,25000000,Amin Town,Faisalabad,Punjab,31.442321000000003,73.128126,0,For Sale,6,2019-03-19,Perfect Properties & Developers,Zubair Ahmed,10.5
32881,34776,House,15000000,Wapda City,Faisalabad,Punjab,31.502824,73.21435,7,For Sale,5,2019-04-18,ABS Estate Advisor,Nadeem Kamran,10.0
32882,34777,House,16000000,Wapda City,Faisalabad,Punjab,31.502824,73.21435,6,For Sale,5,2019-01-18,ABS Estate Advisor,Nadeem Kamran,10.0
32883,34778,House,9500000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,4,For Sale,4,2019-01-18,Self,Self,5.0
32884,34779,House,10000000,Sitara Colony,Faisalabad,Punjab,31.372253000000004,73.03658,4,For Sale,6,2019-01-18,Self,Self,10.0
32885,34780,House,4900000,Lahore - Sheikhupura - Faisalabad Road,Faisalabad,Punjab,31.463244,73.16133,3,For Sale,2,2019-01-18,Self,Self,3.6
33050,34952,House,50000,Wapda City,Faisalabad,Punjab,31.507069,73.22309,5,For Rent,4,2019-01-17,AL Umer Estate & Builders,"M. Ahmad Khan, M Sarab Khan",10.0
