,Unnamed: 0,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
114025,123577,House,5500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Rajab Property,Rajab Hussain,5.0
114026,123578,House,5500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,5,For Sale,5,2019-07-03,Rajab Property,Rajab Hussain,6.0
114027,123579,House,3600000,Bankers Colony,Rawalpindi,Punjab,33.546438,73.061718,2,For Sale,2,2019-07-03,Rajab Property,Rajab Hussain,4.0
114028,123580,House,3800000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Rajab Property,Rajab Hussain,5.0
114029,123581,House,3200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Kashmir Property Center,Raja Aziz Ahmed,3.0
114030,123582,House,4800000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Kashmir Property Center,Raja Aziz Ahmed,5.0
114031,123583,House,4700000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Kashmir Property Center,Raja Aziz Ahmed,5.0
114032,123585,House,5700000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Kashmir Property Center,Raja Aziz Ahmed,5.0
114033,123586,House,4000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Kashmir Property Center,Raja Aziz Ahmed,6.0
114034,123587,House,8500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,0,2019-07-03,Itifaq Home Line Builders & Real Estate,Muhammad Shabbir,8.0
114035,123588,House,3200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,1,For Sale,1,2019-07-03,Itifaq Home Line Builders & Real Estate,Muhammad Shabbir,4.0
114036,123589,House,4500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Itifaq Home Line Builders & Real Estate,Muhammad Shabbir,4.0
114037,123590,House,5200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Itifaq Home Line Builders & Real Estate,Muhammad Shabbir,5.0
114038,123591,House,4500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,A & F Real Estate & Builder,Imran Mehmood,4.0
114039,123592,House,5000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,A & F Real Estate & Builder,Imran Mehmood,5.0
114040,123593,Flat,3800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,1,For Sale,1,2019-07-02,Euro Estate,Muhammad Qasim,3.2
114041,123594,Farm House,3600000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,0,For Sale,0,2019-07-03,A & F Real Estate & Builder,Imran Mehmood,40.0
114042,123595,House,75000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.488788,73.07699000000001,9,For Sale,8,2019-07-03,Self,Self,40.0
114043,123596,House,6000000,Adiala Road,Rawalpindi,Punjab,33.523393,73.047551,4,For Sale,4,2019-07-03,Hammad Builders and Real Estate,"Mehmood Hussain, Hammad Mehmood.",5.0
114044,123597,House,14500000,Gulshan Abad,Rawalpindi,Punjab,33.530556,73.06126400000001,6,For Sale,6,2019-07-03,Hammad Builders and Real Estate,"Mehmood Hussain, Hammad Mehmood.",10.0
114045,123599,House,14000000,Satellite Town,Rawalpindi,Punjab,33.638436,73.06959300000001,3,For Sale,4,2019-07-02,Mohsin Real Estate And Builders,Dr. Saif Nadeem,4.2
114046,123600,House,6200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,3,For Sale,2,2019-07-03,Hassan Homes Real Estate & Builders,Wajid TanoliAzam kh,6.0
114047,123601,House,3500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,3,For Sale,2,2019-07-03,Hassan Homes Real Estate & Builders,Wajid TanoliAzam kh,2.5
114048,123602,House,4200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,3,For Sale,2,2019-07-03,Hassan Homes Real Estate & Builders,Wajid TanoliAzam kh,4.0
114049,123603,House,25000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,6,For Sale,5,2019-07-02,VIP Properties,Ali Raja,13.0
114050,123604,Flat,32500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,10,For Sale,10,2019-07-02,JS Estate Marketing,Jawad Shah,22.0
114052,123606,House,35000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.50297,73.10216899999999,3,For Rent,3,2019-07-03,Eiffel Estate,Umar Jamil,5.0
114053,123607,House,24000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.50136,73.10869100000001,2,For Rent,2,2019-07-03,Eiffel Estate,Umar Jamil,5.0
114054,123608,House,120000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,6,For Rent,6,2019-07-03,A & A Real Estate,Asim Arshad,20.0
114055,123609,House,70000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,6,For Rent,5,2019-07-03,A & A Real Estate,Asim Arshad,10.0
114056,123610,Lower Portion,30000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,3,For Rent,2,2019-07-03,Al Waris Enterprises,Qari Fazal,10.0
114057,123611,House,75000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,6,For Rent,5,2019-07-03,A & A Real Estate,Asim Arshad,10.0
114058,123612,House,75000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555594,73.133669,6,For Rent,5,2019-07-03,A & A Real Estate,Asim Arshad,10.0
114059,123613,House,65000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,6,For Rent,5,2019-07-03,A & A Real Estate,Asim Arshad,10.0
114060,123614,House,65000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555594,73.133669,6,For Rent,5,2019-07-03,A & A Real Estate,Asim Arshad,10.0
114061,123615,Upper Portion,45000,Defence Colony,Rawalpindi,Punjab,33.623169,73.10883199999999,3,For Rent,3,2019-07-03,Eiffel Estate,Umar Jamil,20.0
114193,123778,House,3000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Al Qadeer Real Estate & Builders,Abdul Qadeer,3.0
114194,123779,House,4500000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,2,For Sale,2,2019-07-03,Al Qadeer Real Estate & Builders,Abdul Qadeer,5.0
114195,123780,House,9000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,4,For Sale,4,2019-07-03,Al Qadeer Real Estate & Builders,Abdul Qadeer,5.0
114196,123781,House,9000000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,4,For Sale,3,2019-07-03,Al Qadeer Real Estate & Builders,Abdul Qadeer,10.0
